County,Year,Quarter,Period,transaction_count,avg_price
Ards and North Down,2017,4,2017 Q4,760.0,156896.0332
Ards and North Down,2018,1,2018 Q1,588.0,160129.2868
Ards and North Down,2018,2,2018 Q2,704.0,162127.1085
Ards and North Down,2018,3,2018 Q3,760.0,161989.3401
Ards and North Down,2018,4,2018 Q4,751.0,163378.13249999998
Ards and North Down,2019,1,2019 Q1,551.0,164488.9776
Ards and North Down,2019,2,2019 Q2,676.0,166778.0496
Ards and North Down,2019,3,2019 Q3,843.0,165360.2769
Ards and North Down,2019,4,2019 Q4,843.0,172469.9376
Ards and North Down,2020,1,2020 Q1,558.0,171785.043
Ards and North Down,2020,2,2020 Q2,230.0,165659.8277
Ards and North Down,2020,3,2020 Q3,622.0,171901.4469
Ards and North Down,2020,4,2020 Q4,0.0,174591.2432
Ards and North Down,2021,1,2021 Q1,976.0,187135.365
Ards and North Down,2021,2,2021 Q2,0.0,192721.6464
Ards and North Down,2021,3,2021 Q3,0.0,199757.1024
Ards and North Down,2021,4,2021 Q4,752.0,200725.40850000002
Ards and North Down,2022,1,2022 Q1,692.0,211781.8456
Ards and North Down,2022,2,2022 Q2,750.0,219701.86250000002
Ards and North Down,2022,3,2022 Q3,804.0,219772.97040000002
Ards and North Down,2022,4,2022 Q4,724.0,220598.40320000003
Ards and North Down,2023,1,2023 Q1,528.0,205845.46500000003
Ards and North Down,2023,2,2023 Q2,602.0,219033.4436
Ards and North Down,2023,3,2023 Q3,693.0,219400.7066
Ards and North Down,2023,4,2023 Q4,658.0,220615.12879999998
Ards and North Down,2024,1,2024 Q1,531.0,231362.00999999998
Ards and North Down,2024,2,2024 Q2,674.0,235088.09699999998
Ards and North Down,2024,3,2024 Q3,755.0,242887.338
Ards and North Down,2024,4,2024 Q4,818.0,248635.737
Ards and North Down,2025,1,2025 Q1,838.0,250494.45399999997
Ards and North Down,2025,2,2025 Q2,590.0,249251.9936
Ards and North Down,2025,3,2025 Q3,738.0,257203.9422
"Armagh City, Banbridge and Craigavon",2010,1,2010 Q1,261.0,133758.5224
"Armagh City, Banbridge and Craigavon",2010,2,2010 Q2,298.0,134648.8128
"Armagh City, Banbridge and Craigavon",2010,3,2010 Q3,224.0,138581.8335
"Armagh City, Banbridge and Craigavon",2010,4,2010 Q4,299.0,129146.344
"Armagh City, Banbridge and Craigavon",2011,1,2011 Q1,254.0,125316.907
"Armagh City, Banbridge and Craigavon",2011,2,2011 Q2,288.0,112749.6067
"Armagh City, Banbridge and Craigavon",2011,3,2011 Q3,347.0,115894.4888
"Armagh City, Banbridge and Craigavon",2011,4,2011 Q4,327.0,112753.366
"Armagh City, Banbridge and Craigavon",2012,1,2012 Q1,337.0,111096.15599999999
"Armagh City, Banbridge and Craigavon",2012,2,2012 Q2,343.0,113590.7224
"Armagh City, Banbridge and Craigavon",2012,3,2012 Q3,398.0,108061.41870000001
"Armagh City, Banbridge and Craigavon",2012,4,2012 Q4,441.0,103178.53439999999
"Armagh City, Banbridge and Craigavon",2013,1,2013 Q1,373.0,98642.5944
"Armagh City, Banbridge and Craigavon",2013,2,2013 Q2,407.0,100537.312
"Armagh City, Banbridge and Craigavon",2013,3,2013 Q3,434.0,100981.5
"Armagh City, Banbridge and Craigavon",2013,4,2013 Q4,564.0,106341.782
"Armagh City, Banbridge and Craigavon",2014,1,2014 Q1,437.0,108859.5717
"Armagh City, Banbridge and Craigavon",2014,2,2014 Q2,558.0,112920.766
"Armagh City, Banbridge and Craigavon",2014,3,2014 Q3,552.0,118702.7384
"Armagh City, Banbridge and Craigavon",2014,4,2014 Q4,688.0,122133.23479999999
"Armagh City, Banbridge and Craigavon",2015,1,2015 Q1,515.0,130803.8154
"Armagh City, Banbridge and Craigavon",2015,2,2015 Q2,566.0,137748.3132
"Armagh City, Banbridge and Craigavon",2015,3,2015 Q3,613.0,143071.6672
"Armagh City, Banbridge and Craigavon",2015,4,2015 Q4,683.0,145770.0196
"Armagh City, Banbridge and Craigavon",2016,1,2016 Q1,692.0,137799.80550000002
"Armagh City, Banbridge and Craigavon",2016,2,2016 Q2,534.0,139400.6394
"Armagh City, Banbridge and Craigavon",2016,3,2016 Q3,644.0,127874.39669999998
"Armagh City, Banbridge and Craigavon",2016,4,2016 Q4,706.0,126419.73049999999
"Armagh City, Banbridge and Craigavon",2017,1,2017 Q1,600.0,130494.47180000001
"Armagh City, Banbridge and Craigavon",2017,2,2017 Q2,686.0,130118.0128
"Armagh City, Banbridge and Craigavon",2017,3,2017 Q3,738.0,125419.03360000001
"Armagh City, Banbridge and Craigavon",2017,4,2017 Q4,825.0,129193.4505
"Armagh City, Banbridge and Craigavon",2018,1,2018 Q1,611.0,129521.6472
"Armagh City, Banbridge and Craigavon",2018,2,2018 Q2,711.0,131711.0788
"Armagh City, Banbridge and Craigavon",2018,3,2018 Q3,745.0,128956.70760000001
"Armagh City, Banbridge and Craigavon",2018,4,2018 Q4,759.0,133280.6475
"Armagh City, Banbridge and Craigavon",2019,1,2019 Q1,554.0,136617.7536
"Armagh City, Banbridge and Craigavon",2019,2,2019 Q2,719.0,135183.8124
"Armagh City, Banbridge and Craigavon",2019,3,2019 Q3,735.0,135825.8343
"Armagh City, Banbridge and Craigavon",2019,4,2019 Q4,834.0,142115.024
"Armagh City, Banbridge and Craigavon",2020,1,2020 Q1,638.0,142606.791
"Armagh City, Banbridge and Craigavon",2020,2,2020 Q2,283.0,139164.3505
"Armagh City, Banbridge and Craigavon",2020,3,2020 Q3,631.0,138023.0031
"Armagh City, Banbridge and Craigavon",2020,4,2020 Q4,974.0,140832.97799999997
"Armagh City, Banbridge and Craigavon",2021,1,2021 Q1,850.0,145046.31
"Armagh City, Banbridge and Craigavon",2021,2,2021 Q2,823.0,154872.7332
"Armagh City, Banbridge and Craigavon",2021,3,2021 Q3,987.0,163082.43540000002
"Armagh City, Banbridge and Craigavon",2021,4,2021 Q4,853.0,162874.4662
"Armagh City, Banbridge and Craigavon",2022,1,2022 Q1,621.0,171836.3592
"Armagh City, Banbridge and Craigavon",2022,2,2022 Q2,752.0,175143.956
"Armagh City, Banbridge and Craigavon",2022,3,2022 Q3,759.0,181050.6264
"Armagh City, Banbridge and Craigavon",2022,4,2022 Q4,808.0,176952.22720000002
"Armagh City, Banbridge and Craigavon",2023,1,2023 Q1,571.0,172653.02250000002
"Armagh City, Banbridge and Craigavon",2023,2,2023 Q2,622.0,174362.1189
"Armagh City, Banbridge and Craigavon",2023,3,2023 Q3,695.0,186103.5707
"Armagh City, Banbridge and Craigavon",2023,4,2023 Q4,645.0,181495.4692
"Armagh City, Banbridge and Craigavon",2024,1,2024 Q1,576.0,185924.87099999998
"Armagh City, Banbridge and Craigavon",2024,2,2024 Q2,597.0,192267.7677
"Armagh City, Banbridge and Craigavon",2024,3,2024 Q3,707.0,199522.7145
