County,Year,Quarter,Period,transaction_count,avg_price,Inflation_Rate,real_avg_price
Lisburn and Castlereagh,2021,1,2021 Q1,763.0,192643.96,0.61,191475.96
Lisburn and Castlereagh,2021,2,2021 Q2,852.0,200563.05,2.05,196534.1
Lisburn and Castlereagh,2021,3,2021 Q3,901.0,204426.49,2.77,198916.5
Lisburn and Castlereagh,2021,4,2021 Q4,643.0,208486.11,4.91,198728.54
Lisburn and Castlereagh,2022,1,2022 Q1,563.0,215470.85,6.22,202853.37
Lisburn and Castlereagh,2022,2,2022 Q2,574.0,219620.55,9.17,201172.99
Lisburn and Castlereagh,2022,3,2022 Q3,617.0,229791.92,10.02,208863.77
Lisburn and Castlereagh,2022,4,2022 Q4,607.0,227865.48,10.75,205747.61
Lisburn and Castlereagh,2023,1,2023 Q1,449.0,219640.45,10.18,199346.93
Lisburn and Castlereagh,2023,2,2023 Q2,417.0,223525.78,8.43,206147.54
Lisburn and Castlereagh,2023,3,2023 Q3,575.0,231588.6,6.71,217026.15
Lisburn and Castlereagh,2023,4,2023 Q4,491.0,225850.62,4.18,216788.85
Lisburn and Castlereagh,2024,1,2024 Q1,454.0,235028.99,3.54,226993.42
Lisburn and Castlereagh,2024,2,2024 Q2,511.0,241566.29,2.1,236597.74
Lisburn and Castlereagh,2024,3,2024 Q3,649.0,251932.83,2.04,246896.15
Lisburn and Castlereagh,2024,4,2024 Q4,679.0,261670.93,2.47,255363.45
Lisburn and Castlereagh,2025,1,2025 Q1,657.0,264288.9,2.8,257090.37
Lisburn and Castlereagh,2025,2,2025 Q2,470.0,257412.76,3.49,248732.01
Lisburn and Castlereagh,2025,3,2025 Q3,515.0,261118.79,3.8,251559.53
Mid Ulster,2010,1,2010 Q1,140.0,129909.03,3.28,125783.34
Mid Ulster,2010,2,2010 Q2,150.0,134380.98,3.46,129886.89
Mid Ulster,2010,3,2010 Q3,132.0,134473.55,3.09,130442.87
Mid Ulster,2010,4,2010 Q4,148.0,123198.82,3.38,119170.85
Mid Ulster,2011,1,2011 Q1,124.0,126610.86,4.12,121600.9
Mid Ulster,2011,2,2011 Q2,160.0,117384.3,4.38,112458.61
Mid Ulster,2011,3,2011 Q3,157.0,112473.89,4.71,107414.66
Mid Ulster,2011,4,2011 Q4,183.0,109504.89,4.65,104639.17
Mid Ulster,2012,1,2012 Q1,170.0,107702.0,3.49,104069.96
Mid Ulster,2012,2,2012 Q2,148.0,116774.24,2.76,113637.84
Mid Ulster,2012,3,2012 Q3,197.0,112475.39,2.41,109828.52
Mid Ulster,2012,4,2012 Q4,205.0,105943.88,2.67,103188.74
Mid Ulster,2013,1,2013 Q1,178.0,103015.14,2.78,100228.78
Mid Ulster,2013,2,2013 Q2,198.0,106171.96,2.68,103400.82
Mid Ulster,2013,3,2013 Q3,212.0,108424.28,2.71,105563.51
Mid Ulster,2013,4,2013 Q4,240.0,109099.07,2.1,106855.11
Mid Ulster,2014,1,2014 Q1,213.0,116369.09,1.74,114378.9
Mid Ulster,2014,2,2014 Q2,275.0,119091.69,1.72,117077.95
Mid Ulster,2014,3,2014 Q3,249.0,122043.99,1.46,120287.79
Mid Ulster,2014,4,2014 Q4,300.0,130783.73,0.94,129565.81
Mid Ulster,2015,1,2015 Q1,246.0,141602.49,0.1,141461.03
Mid Ulster,2015,2,2015 Q2,278.0,151801.24,-0.02,151831.61
Mid Ulster,2015,3,2015 Q3,296.0,152571.13,0.01,152555.87
Mid Ulster,2015,4,2015 Q4,334.0,150517.75,0.07,150412.46
Mid Ulster,2016,1,2016 Q1,334.0,149473.62,0.35,148952.29
Mid Ulster,2016,2,2016 Q2,264.0,142264.94,0.35,141768.75
Mid Ulster,2016,3,2016 Q3,311.0,137295.38,0.73,136300.39
Mid Ulster,2016,4,2016 Q4,345.0,133781.27,1.21,132181.87
Mid Ulster,2017,1,2017 Q1,303.0,135259.22,2.14,132425.32
Mid Ulster,2017,2,2017 Q2,328.0,138158.58,2.74,134473.99
Mid Ulster,2017,3,2017 Q3,326.0,131729.88,2.82,128116.98
Mid Ulster,2017,4,2017 Q4,308.0,137149.36,3.02,133128.87
Mid Ulster,2018,1,2018 Q1,308.0,140696.17,2.72,136970.57
Mid Ulster,2018,2,2018 Q2,306.0,139773.76,2.42,136471.16
Mid Ulster,2018,3,2018 Q3,343.0,138122.91,2.52,134727.77
Mid Ulster,2018,4,2018 Q4,392.0,143591.63,2.27,140404.45
Mid Ulster,2019,1,2019 Q1,301.0,142770.19,1.88,140135.64
Mid Ulster,2019,2,2019 Q2,377.0,144610.51,2.05,141705.55
Mid Ulster,2019,3,2019 Q3,369.0,142065.61,1.83,139512.53
Mid Ulster,2019,4,2019 Q4,360.0,149652.03,1.41,147571.28
Mid Ulster,2020,1,2020 Q1,309.0,147166.04,1.67,144748.74
Mid Ulster,2020,2,2020 Q2,128.0,141487.61,0.62,140615.79
Mid Ulster,2020,3,2020 Q3,282.0,139776.48,0.6,138942.82
Mid Ulster,2020,4,2020 Q4,420.0,145188.45,0.53,144423.01
Mid Ulster,2021,1,2021 Q1,349.0,153738.0,0.61,152805.88
Mid Ulster,2021,2,2021 Q2,375.0,157645.82,2.05,154479.0
Mid Ulster,2021,3,2021 Q3,406.0,166853.95,2.77,162356.67
Mid Ulster,2021,4,2021 Q4,419.0,168399.97,4.91,160518.51
Mid Ulster,2022,1,2022 Q1,290.0,178197.08,6.22,167762.27
Mid Ulster,2022,2,2022 Q2,308.0,179537.4,9.17,164456.72
Mid Ulster,2022,3,2022 Q3,349.0,184945.07,10.02,168101.32
Mid Ulster,2022,4,2022 Q4,371.0,181170.74,10.75,163585.32
Mid Ulster,2023,1,2023 Q1,256.0,173865.93,10.18,157801.72
Mid Ulster,2023,2,2023 Q2,261.0,182049.95,8.43,167896.29
Mid Ulster,2023,3,2023 Q3,317.0,189901.75,6.71,177960.59
Mid Ulster,2023,4,2023 Q4,308.0,187077.07,4.18,179571.0
Mid Ulster,2024,1,2024 Q1,291.0,192246.0,3.54,185673.17
Mid Ulster,2024,2,2024 Q2,254.0,196214.23,2.1,192178.48
Mid Ulster,2024,3,2024 Q3,317.0,199887.23,2.04,195891.05
Mid Ulster,2024,4,2024 Q4,377.0,205345.69,2.47,200395.91
Mid Ulster,2025,1,2025 Q1,306.0,205880.56,2.8,200272.92
Mid Ulster,2025,2,2025 Q2,253.0,209225.37,3.49,202169.65
Mid Ulster,2025,3,2025 Q3,283.0,216614.41,3.8,208684.4
Mid and East Antrim,2010,1,2010 Q1,211.0,130079.19,3.28,125948.09
Mid and East Antrim,2010,2,2010 Q2,238.0,144310.72,3.46,139484.55
Mid and East Antrim,2010,3,2010 Q3,189.0,139993.64,3.09,135797.5
Mid and East Antrim,2010,4,2010 Q4,229.0,129310.45,3.38,125082.66
Mid and East Antrim,2011,1,2011 Q1,195.0,113156.07,4.12,108678.52
Mid and East Antrim,2011,2,2011 Q2,204.0,120230.15,4.38,115185.05
Mid and East Antrim,2011,3,2011 Q3,277.0,118043.77,4.71,112734.0
Mid and East Antrim,2011,4,2011 Q4,246.0,117076.89,4.65,111874.72
Mid and East Antrim,2012,1,2012 Q1,243.0,112264.69,3.49,108478.78
Mid and East Antrim,2012,2,2012 Q2,295.0,120107.12,2.76,116881.2
Mid and East Antrim,2012,3,2012 Q3,311.0,116421.94,2.41,113682.2
Mid and East Antrim,2012,4,2012 Q4,278.0,112169.32,2.67,109252.28
Mid and East Antrim,2013,1,2013 Q1,280.0,104533.37,2.78,101705.94
Mid and East Antrim,2013,2,2013 Q2,283.0,105371.38,2.68,102621.13
Mid and East Antrim,2013,3,2013 Q3,334.0,104559.46,2.71,101800.66
Mid and East Antrim,2013,4,2013 Q4,391.0,108130.04,2.1,105906.01
Mid and East Antrim,2014,1,2014 Q1,343.0,112723.64,1.74,110795.79
Mid and East Antrim,2014,2,2014 Q2,400.0,115807.32,1.72,113849.12
Mid and East Antrim,2014,3,2014 Q3,361.0,120966.78,1.46,119226.08
Mid and East Antrim,2014,4,2014 Q4,444.0,120823.05,0.94,119697.89
Mid and East Antrim,2015,1,2015 Q1,367.0,127790.8,0.1,127663.14
Mid and East Antrim,2015,2,2015 Q2,430.0,138689.61,-0.02,138717.35
Mid and East Antrim,2015,3,2015 Q3,455.0,138726.11,0.01,138712.24
Mid and East Antrim,2015,4,2015 Q4,453.0,140833.76,0.07,140735.25
Mid and East Antrim,2016,1,2016 Q1,472.0,131727.29,0.35,131267.85
Mid and East Antrim,2016,2,2016 Q2,372.0,135577.34,0.35,135104.47
Mid and East Antrim,2016,3,2016 Q3,484.0,128262.58,0.73,127333.05
Mid and East Antrim,2016,4,2016 Q4,442.0,125622.89,1.21,124121.03
Mid and East Antrim,2017,1,2017 Q1,382.0,124428.67,2.14,121821.69
Mid and East Antrim,2017,2,2017 Q2,451.0,128314.43,2.74,124892.38
Mid and East Antrim,2017,3,2017 Q3,478.0,125092.51,2.82,121661.65
Mid and East Antrim,2017,4,2017 Q4,484.0,127492.96,3.02,123755.54
Mid and East Antrim,2018,1,2018 Q1,374.0,128474.18,2.72,125072.22
Mid and East Antrim,2018,2,2018 Q2,458.0,130467.77,2.42,127385.05
Mid and East Antrim,2018,3,2018 Q3,473.0,131284.4,2.52,128057.35
Mid and East Antrim,2018,4,2018 Q4,503.0,130539.7,2.27,127642.22
Mid and East Antrim,2019,1,2019 Q1,464.0,132436.21,1.88,129992.35
Mid and East Antrim,2019,2,2019 Q2,484.0,134239.2,2.05,131542.58
Mid and East Antrim,2019,3,2019 Q3,549.0,131160.69,1.83,128803.58
Mid and East Antrim,2019,4,2019 Q4,508.0,138835.89,1.41,136905.52
Mid and East Antrim,2020,1,2020 Q1,443.0,137976.72,1.67,135710.36
Mid and East Antrim,2020,2,2020 Q2,150.0,135128.51,0.62,134295.88
Mid and East Antrim,2020,3,2020 Q3,435.0,132546.01,0.6,131755.48
Mid and East Antrim,2020,4,2020 Q4,686.0,137542.0,0.53,136816.87
Mid and East Antrim,2021,1,2021 Q1,572.0,142668.14,0.61,141803.14
Mid and East Antrim,2021,2,2021 Q2,629.0,152651.72,2.05,149585.22
Mid and East Antrim,2021,3,2021 Q3,706.0,155463.41,2.77,151273.14
Mid and East Antrim,2021,4,2021 Q4,505.0,158835.55,4.91,151401.73
Mid and East Antrim,2022,1,2022 Q1,417.0,166264.6,6.22,156528.53
Mid and East Antrim,2022,2,2022 Q2,515.0,166289.89,9.17,152321.97
Mid and East Antrim,2022,3,2022 Q3,507.0,170614.41,10.02,155075.81
Mid and East Antrim,2022,4,2022 Q4,520.0,169725.41,10.75,153250.93
Mid and East Antrim,2023,1,2023 Q1,396.0,166160.4,10.18,150808.13
Mid and East Antrim,2023,2,2023 Q2,427.0,167997.6,8.43,154936.46
Mid and East Antrim,2023,3,2023 Q3,445.0,176123.62,6.71,165048.84
Mid and East Antrim,2023,4,2023 Q4,483.0,176220.75,4.18,169150.27
Mid and East Antrim,2024,1,2024 Q1,379.0,175109.68,3.54,169122.74
Mid and East Antrim,2024,2,2024 Q2,448.0,183382.08,2.1,179610.26
Mid and East Antrim,2024,3,2024 Q3,499.0,189191.94,2.04,185409.58
Mid and East Antrim,2024,4,2024 Q4,542.0,192573.61,2.47,187931.7
Mid and East Antrim,2025,1,2025 Q1,470.0,196867.32,2.8,191505.18
Mid and East Antrim,2025,2,2025 Q2,379.0,192989.8,3.49,186481.59
Mid and East Antrim,2025,3,2025 Q3,458.0,196998.66,3.8,189786.76
"Newry, Mourne and Down",2010,1,2010 Q1,170.0,153801.57,3.28,148917.09
"Newry, Mourne and Down",2010,2,2010 Q2,165.0,156976.34,3.46,151726.6
"Newry, Mourne and Down",2010,3,2010 Q3,171.0,158795.81,3.09,154036.09
"Newry, Mourne and Down",2010,4,2010 Q4,181.0,148242.45,3.38,143395.68
"Newry, Mourne and Down",2011,1,2011 Q1,154.0,141004.79,4.12,135425.27
"Newry, Mourne and Down",2011,2,2011 Q2,180.0,136093.01,4.38,130382.27
"Newry, Mourne and Down",2011,3,2011 Q3,205.0,134322.4,4.71,128280.39
"Newry, Mourne and Down",2011,4,2011 Q4,216.0,135606.97,4.65,129581.43
"Newry, Mourne and Down",2012,1,2012 Q1,188.0,131842.19,3.49,127396.07
"Newry, Mourne and Down",2012,2,2012 Q2,225.0,126492.67,2.76,123095.24
"Newry, Mourne and Down",2012,3,2012 Q3,228.0,129238.12,2.41,126196.78
"Newry, Mourne and Down",2012,4,2012 Q4,279.0,124247.43,2.67,121016.29
"Newry, Mourne and Down",2013,1,2013 Q1,232.0,111375.98,2.78,108363.48
"Newry, Mourne and Down",2013,2,2013 Q2,261.0,112267.45,2.68,109337.21
"Newry, Mourne and Down",2013,3,2013 Q3,290.0,114100.31,2.71,111089.78
"Newry, Mourne and Down",2013,4,2013 Q4,374.0,113459.14,2.1,111125.5
"Newry, Mourne and Down",2014,1,2014 Q1,311.0,125575.7,1.74,123428.05
"Newry, Mourne and Down",2014,2,2014 Q2,373.0,129642.17,1.72,127450.03
"Newry, Mourne and Down",2014,3,2014 Q3,402.0,137486.59,1.46,135508.17
"Newry, Mourne and Down",2014,4,2014 Q4,458.0,136807.52,0.94,135533.51
"Newry, Mourne and Down",2015,1,2015 Q1,366.0,144538.77,0.1,144394.38
"Newry, Mourne and Down",2015,2,2015 Q2,356.0,153992.98,-0.02,154023.78
"Newry, Mourne and Down",2015,3,2015 Q3,458.0,161543.77,0.01,161527.62
"Newry, Mourne and Down",2015,4,2015 Q4,482.0,162141.04,0.07,162027.62
"Newry, Mourne and Down",2016,1,2016 Q1,438.0,149576.17,0.35,149054.48
"Newry, Mourne and Down",2016,2,2016 Q2,347.0,150666.04,0.35,150140.55
"Newry, Mourne and Down",2016,3,2016 Q3,425.0,143953.24,0.73,142910.0
"Newry, Mourne and Down",2016,4,2016 Q4,466.0,139741.43,1.21,138070.77
"Newry, Mourne and Down",2017,1,2017 Q1,392.0,143634.14,2.14,140624.77
"Newry, Mourne and Down",2017,2,2017 Q2,432.0,144602.43,2.74,140745.99
"Newry, Mourne and Down",2017,3,2017 Q3,465.0,138455.28,2.82,134657.93
"Newry, Mourne and Down",2017,4,2017 Q4,539.0,143600.87,3.02,139391.25
"Newry, Mourne and Down",2018,1,2018 Q1,460.0,149363.56,2.72,145408.45
"Newry, Mourne and Down",2018,2,2018 Q2,502.0,146244.92,2.42,142789.42
"Newry, Mourne and Down",2018,3,2018 Q3,536.0,149800.61,2.52,146118.43
"Newry, Mourne and Down",2018,4,2018 Q4,505.0,152392.9,2.27,149010.36
"Newry, Mourne and Down",2019,1,2019 Q1,379.0,153184.47,1.88,150357.74
"Newry, Mourne and Down",2019,2,2019 Q2,482.0,157995.2,2.05,154821.36
"Newry, Mourne and Down",2019,3,2019 Q3,478.0,155175.03,1.83,152386.36
"Newry, Mourne and Down",2019,4,2019 Q4,515.0,162232.68,1.41,159977.0
"Newry, Mourne and Down",2020,1,2020 Q1,410.0,160958.72,1.67,158314.86
"Newry, Mourne and Down",2020,2,2020 Q2,145.0,156444.55,0.62,155480.57
"Newry, Mourne and Down",2020,3,2020 Q3,373.0,160407.17,0.6,159450.47
"Newry, Mourne and Down",2020,4,2020 Q4,638.0,165082.75,0.53,164212.42
"Newry, Mourne and Down",2021,1,2021 Q1,487.0,170230.58,0.61,169198.47
"Newry, Mourne and Down",2021,2,2021 Q2,506.0,180549.55,2.05,176922.64
"Newry, Mourne and Down",2021,3,2021 Q3,593.0,190711.78,2.77,185571.45
"Newry, Mourne and Down",2021,4,2021 Q4,505.0,191765.77,4.91,182790.74
"Newry, Mourne and Down",2022,1,2022 Q1,433.0,200366.97,6.22,188633.94
"Newry, Mourne and Down",2022,2,2022 Q2,449.0,204314.19,9.17,187152.32
"Newry, Mourne and Down",2022,3,2022 Q3,449.0,212824.45,10.02,193441.6
"Newry, Mourne and Down",2022,4,2022 Q4,546.0,203241.17,10.75,183513.47
"Newry, Mourne and Down",2023,1,2023 Q1,345.0,196498.94,10.18,178343.57
"Newry, Mourne and Down",2023,2,2023 Q2,399.0,204135.33,8.43,188264.62
"Newry, Mourne and Down",2023,3,2023 Q3,410.0,214524.15,6.71,201034.72
"Newry, Mourne and Down",2023,4,2023 Q4,438.0,209725.35,4.18,201310.57
"Newry, Mourne and Down",2024,1,2024 Q1,341.0,208981.63,3.54,201836.61
"Newry, Mourne and Down",2024,2,2024 Q2,374.0,224961.15,2.1,220334.13
"Newry, Mourne and Down",2024,3,2024 Q3,501.0,226415.38,2.04,221888.85
"Newry, Mourne and Down",2024,4,2024 Q4,528.0,233722.76,2.47,228088.96
"Newry, Mourne and Down",2025,1,2025 Q1,457.0,234287.86,2.8,227906.48
"Newry, Mourne and Down",2025,2,2025 Q2,312.0,229226.91,3.49,221496.68
"Newry, Mourne and Down",2025,3,2025 Q3,443.0,238713.14,3.8,229974.12
