County,Year,Quarter,Period,Inflation_Rate,Region,is_ni,transaction_count,avg_price,price_qoq_pct,price_yoy_pct,real_price_qoq_pct,real_price_yoy_pct
Antrim and Newtownabbey,2010,1,2010 Q1,3.28,Northern Ireland,True,217.0,148341.74,,,,
Antrim and Newtownabbey,2010,2,2010 Q2,3.46,Northern Ireland,True,245.0,152846.09,3.036468360152722,,-0.4235316398472779,
Antrim and Newtownabbey,2010,3,2010 Q3,3.09,Northern Ireland,True,269.0,156920.99,2.66601520523031,,-0.42398479476969,
Antrim and Newtownabbey,2010,4,2010 Q4,3.38,Northern Ireland,True,270.0,138840.47,-11.522053232011851,,-14.902053232011852,
Antrim and Newtownabbey,2011,1,2011 Q1,4.12,Northern Ireland,True,205.0,134269.2,-3.292462205004054,-9.48656797473184,-7.412462205004054,-13.606567974731842
Antrim and Newtownabbey,2011,2,2011 Q2,4.38,Northern Ireland,True,224.0,131161.5,-2.3145293187119664,-14.18720622817371,-6.694529318711966,-18.56720622817371
Antrim and Newtownabbey,2011,3,2011 Q3,4.71,Northern Ireland,True,283.0,132028.32,0.6608799075948468,-15.86318694522637,-4.049120092405153,-20.57318694522637
Antrim and Newtownabbey,2011,4,2011 Q4,4.65,Northern Ireland,True,252.0,125074.49,-5.266923035906235,-9.91496211443248,-9.916923035906237,-14.56496211443248
Antrim and Newtownabbey,2012,1,2012 Q1,3.49,Northern Ireland,True,317.0,121151.57,-3.136466916635039,-9.7696493313433,-6.626466916635039,-13.2596493313433
Antrim and Newtownabbey,2012,2,2012 Q2,2.76,Northern Ireland,True,275.0,125496.51,3.586367060699236,-4.3190951613087725,0.8263670606992362,-7.079095161308772
Antrim and Newtownabbey,2012,3,2012 Q3,2.41,Northern Ireland,True,304.0,127982.4,1.980843929444731,-3.0644334488237117,-0.429156070555269,-5.474433448823712
Antrim and Newtownabbey,2012,4,2012 Q4,2.67,Northern Ireland,True,343.0,122768.78,-4.073700758854337,-1.843469439691503,-6.743700758854337,-4.513469439691503
Antrim and Newtownabbey,2013,1,2013 Q1,2.78,Northern Ireland,True,291.0,112434.74,-8.417482034113233,-7.194978983763889,-11.197482034113232,-9.974978983763888
Antrim and Newtownabbey,2013,2,2013 Q2,2.68,Northern Ireland,True,330.0,114803.22,2.106537534573394,-8.520786753352738,-0.5734624654266063,-11.200786753352736
Antrim and Newtownabbey,2013,3,2013 Q3,2.71,Northern Ireland,True,359.0,115157.55,0.3086411687755808,-10.020791921389185,-2.401358831224419,-12.730791921389184
Antrim and Newtownabbey,2013,4,2013 Q4,2.1,Northern Ireland,True,383.0,118065.32,2.525036352371157,-3.8311531645097374,0.4250363523711571,-5.9311531645097375
Antrim and Newtownabbey,2014,1,2014 Q1,1.74,Northern Ireland,True,404.0,122075.21,3.3963317932818926,8.574280511521625,1.6563317932818926,6.834280511521625
Antrim and Newtownabbey,2014,2,2014 Q2,1.72,Northern Ireland,True,486.0,128030.07,4.878025604051794,11.521323182398556,3.1580256040517947,9.801323182398557
Antrim and Newtownabbey,2014,3,2014 Q3,1.46,Northern Ireland,True,471.0,134305.34,4.901403240660573,16.62747253653798,3.441403240660573,15.16747253653798
Antrim and Newtownabbey,2014,4,2014 Q4,0.94,Northern Ireland,True,479.0,135749.49,1.0752737009563471,14.978293371838555,0.1352737009563474,14.038293371838558
Antrim and Newtownabbey,2015,1,2015 Q1,0.1,Northern Ireland,True,385.0,144855.15,6.707693708462559,18.660578179632047,6.607693708462559,18.56057817963205
Antrim and Newtownabbey,2015,2,2015 Q2,-0.02,Northern Ireland,True,478.0,155286.39,7.201152323545301,21.288998748497143,7.221152323545301,21.308998748497142
Antrim and Newtownabbey,2015,3,2015 Q3,0.01,Northern Ireland,True,571.0,158381.46,1.993136681199159,17.926405606806096,1.983136681199159,17.916405606806094
Antrim and Newtownabbey,2015,4,2015 Q4,0.07,Northern Ireland,True,542.0,159156.55,0.4893817748617746,17.242834577131738,0.4193817748617746,17.172834577131738
Antrim and Newtownabbey,2016,1,2016 Q1,0.35,Northern Ireland,True,538.0,146682.7,-7.837471973349497,1.261639644845225,-8.187471973349497,0.911639644845225
Antrim and Newtownabbey,2016,2,2016 Q2,0.35,Northern Ireland,True,402.0,152246.17,3.79286037140032,-1.9578148477789936,3.4428603714003194,-2.3078148477789937
Antrim and Newtownabbey,2016,3,2016 Q3,0.73,Northern Ireland,True,570.0,144100.28,-5.350472855901733,-9.016951857875275,-6.080472855901734,-9.746951857875278
Antrim and Newtownabbey,2016,4,2016 Q4,1.21,Northern Ireland,True,545.0,141085.23,-2.092327648495884,-11.354430590509768,-3.302327648495884,-12.564430590509769
Antrim and Newtownabbey,2017,1,2017 Q1,2.14,Northern Ireland,True,509.0,140716.93,-0.2610478786475467,-4.0671258437430025,-2.401047878647547,-6.207125843743002
Antrim and Newtownabbey,2017,2,2017 Q2,2.74,Northern Ireland,True,634.0,144885.98,2.962720974654598,-4.834400760294988,0.2227209746545977,-7.5744007602949885
Antrim and Newtownabbey,2017,3,2017 Q3,2.82,Northern Ireland,True,600.0,139534.02,-3.69391158482002,-3.1688071667869133,-6.51391158482002,-5.988807166786913
Antrim and Newtownabbey,2017,4,2017 Q4,3.02,Northern Ireland,True,667.0,139097.77,-0.31264776862302,-1.408694588370463,-3.33264776862302,-4.428694588370463
Antrim and Newtownabbey,2018,1,2018 Q1,2.72,Northern Ireland,True,443.0,141632.67,1.8223872316572851,0.6507674662885377,-0.8976127683427149,-2.0692325337114625
Antrim and Newtownabbey,2018,2,2018 Q2,2.42,Northern Ireland,True,590.0,144597.45,2.093288222272438,-0.1991428018087049,-0.3267117777275619,-2.619142801808705
Antrim and Newtownabbey,2018,3,2018 Q3,2.52,Northern Ireland,True,647.0,145916.26,0.9120561946285966,4.5739669795222815,-1.6079438053714037,2.053966979522281
Antrim and Newtownabbey,2018,4,2018 Q4,2.27,Northern Ireland,True,647.0,148739.8,1.9350413723597135,6.931836506077693,-0.3349586276402863,4.661836506077693
Antrim and Newtownabbey,2019,1,2019 Q1,1.88,Northern Ireland,True,499.0,149342.5,0.4052042560229507,5.443539262516195,-1.4747957439770492,3.563539262516195
Antrim and Newtownabbey,2019,2,2019 Q2,2.05,Northern Ireland,True,564.0,149173.47,-0.1131827845388899,3.1646616174766384,-2.16318278453889,1.1146616174766386
Antrim and Newtownabbey,2019,3,2019 Q3,1.83,Northern Ireland,True,618.0,150065.22,0.5977939643021069,2.843384280819694,-1.2322060356978932,1.013384280819694
Antrim and Newtownabbey,2019,4,2019 Q4,1.41,Northern Ireland,True,573.0,158287.5,5.479137670940681,6.419062012991827,4.069137670940681,5.009062012991827
Antrim and Newtownabbey,2020,1,2020 Q1,1.67,Northern Ireland,True,493.0,158091.05,-0.1241096106767813,5.858044428076403,-1.794109610676781,4.188044428076403
Antrim and Newtownabbey,2020,2,2020 Q2,0.62,Northern Ireland,True,198.0,154565.21,-2.2302590817127155,3.6144094522973846,-2.850259081712716,2.9944094522973845
Antrim and Newtownabbey,2020,3,2020 Q3,0.6,Northern Ireland,True,418.0,153300.46,-0.818263048974599,2.155889286005097,-1.418263048974599,1.555889286005097
Antrim and Newtownabbey,2020,4,2020 Q4,0.53,Northern Ireland,True,756.0,156183.48,1.8806336262787493,-1.3292395167021964,1.3506336262787493,-1.8592395167021964
Antrim and Newtownabbey,2021,1,2021 Q1,0.61,Northern Ireland,True,655.0,164443.76,5.288830803360245,4.018386872628166,4.678830803360245,3.408386872628166
Antrim and Newtownabbey,2021,2,2021 Q2,2.05,Northern Ireland,True,727.0,171993.7,4.59119883904382,11.27581685425849,2.54119883904382,9.22581685425849
Antrim and Newtownabbey,2021,3,2021 Q3,2.77,Northern Ireland,True,763.0,177641.24,3.28357375880628,15.877825806915393,0.5135737588062796,13.107825806915391
Antrim and Newtownabbey,2021,4,2021 Q4,4.91,Northern Ireland,True,603.0,179625.46,1.1169816198085547,15.009257060990056,-3.793018380191445,10.099257060990055
Antrim and Newtownabbey,2022,1,2022 Q1,6.22,Northern Ireland,True,506.0,185774.72,3.4233788461836223,12.97158371956466,-2.796621153816377,6.751583719564661
Antrim and Newtownabbey,2022,2,2022 Q2,9.17,Northern Ireland,True,559.0,192168.57,3.441722318300356,11.730005226935637,-5.728277681699645,2.560005226935635
Antrim and Newtownabbey,2022,3,2022 Q3,10.02,Northern Ireland,True,582.0,197001.24,2.514807702425004,10.898370220788811,-7.505192297574996,0.8783702207888116
Antrim and Newtownabbey,2022,4,2022 Q4,10.75,Northern Ireland,True,676.0,193622.67,-1.714999357364444,7.792442118171894,-12.464999357364444,-2.957557881828106
Antrim and Newtownabbey,2023,1,2023 Q1,10.18,Northern Ireland,True,459.0,187983.68,-2.9123604173003192,1.1890530638398955,-13.09236041730032,-8.990946936160103
